8,8,-0.375,A0
8,9,-0.385594652317473,9D
8,A,-0.397583617650433,9A
8,B,-0.411096157755324,97
8,C,-0.426208191174783,93
8,D,-0.442899874390046,8F
8,E,-0.461010434811315,8A
8,F,-0.480208287919717,85
8,0,0.5,7F
8,1,0.480208287919717,7A
8,2,0.461010434811315,75
8,3,0.442899874390046,70
8,4,0.426208191174783,6C
8,5,0.411096157755324,68
8,6,0.397583617650433,65
8,7,0.385594652317473,62
9,8,-0.364405347682527,A3
9,9,-0.375,A0
9,A,-0.387218625986099,9D
9,B,-0.401284228355627,99
9,C,-0.417375329730716,95
9,D,-0.435559470795422,90
9,E,-0.455707233608548,8B
9,F,-0.477416382349567,86
9,0,0.5,7F
9,1,0.477416382349567,79
9,2,0.455707233608548,74
9,3,0.435559470795422,6F
9,4,0.417375329730716,6A
9,5,0.401284228355627,66
9,6,0.387218625986099,62
9,7,0.375,5F
A,8,-0.352416382349567,A6
A,9,-0.362781374013901,A3
A,A,-0.375,A0
A,B,-0.389428969188152,9C
A,C,-0.406416479094501,98
A,D,-0.426208191174783,93
A,E,-0.448791808825217,8D
A,F,-0.473715771644373,87
A,0,0.5,7F
A,1,0.473715771644373,78
A,2,0.448791808825217,72
A,3,0.426208191174783,6C
A,4,0.406416479094501,67
A,5,0.389428969188152,63
A,6,0.375,5F
A,7,0.362781374013901,5C
B,8,-0.338903842244676,A9
B,9,-0.348715771644373,A7
B,A,-0.360571030811848,A4
B,B,-0.375,A0
B,C,-0.392611643738639,9B
B,D,-0.413989565188685,96
B,E,-0.439440529204578,8F
B,F,-0.468583520905499,88
B,0,0.5,7F
B,1,0.468583520905499,77
B,2,0.439440529204578,70
B,3,0.413989565188685,69
B,4,0.392611643738639,64
B,5,0.375,5F
B,6,0.360571030811848,5B
B,7,0.348715771644373,58
C,8,-0.323791808825217,AD
C,9,-0.332624670269284,AB
C,A,-0.343583520905499,A8
C,B,-0.357388356261361,A4
C,C,-0.375,A0
C,D,-0.397583617650433,9A
C,E,-0.426208191174783,93
C,F,-0.461010434811315,8A
C,0,0.5,7F
C,1,0.461010434811315,75
C,2,0.426208191174783,6C
C,3,0.397583617650433,65
C,4,0.375,5F
C,5,0.357388356261361,5B
C,6,0.343583520905499,57
C,7,0.332624670269284,54
D,8,-0.307100125609954,B1
D,9,-0.314440529204578,AF
